permit_number,issue_date,permit_type,category,project_address,description,valuation,contractor,builder_permit_count,repeat_builder,source_report
2026 026016,2026-08-13,Residential,New Construction,11060 RIVERSIDE DR E,"DWELLING WITH ATTACHED GARAGE,",557000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 031294,2026-08-12,Residential,New Construction,660 UNIVERSITY AVE E,"DWELLING WITH 4 GRADE ENTRANCES,",2362578.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 019412,2026-08-12,Residential,New Construction,3187 MCROBBIE RD,"DWELLING WITH ATTACHED GARAGE,",459867.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 031978,2026-08-11,Residential,New Construction,2498 PARTINGTON AVE,"DWELLING WITH ATTACHED GARAGE,",900000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 031252,2026-08-11,Residential,New Construction,2410 PARTINGTON AVE,"DWELLING WITH ATTACHED GARAGE,",615203.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 025004,2026-08-11,Residential,New Construction,4385 PIONEER AVE,"DWELLING WITH ATTACHED GARAGE,",611949.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 022817,2026-08-11,Residential,New Construction,4375 PIONEER AVE,"DWELLING WITH ATTACHED GARAGE,",700344.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 019411,2026-08-11,Residential,New Construction,3185 MCROBBIE RD,"DWELLING WITH ATTACHED GARAGE,",459867.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 022562,2026-08-06,Residential,New Construction,749 CAMPBELL AVE,DWELLING WITH (1) ADDITIONAL DWELLING,731102.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 030834,2026-07-31,Residential,New Construction,457 CHURCH ST,DWELLING WITH (2) INTERIOR ADDITIONAL,340992.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 025661,2026-07-30,Residential,New Construction,3668 FARROW AVE,"DWELLING WITH ATTACHED GARAGE,",505838.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 053099,2026-07-21,Residential,New Construction,1010 ROSELAND DR S,"DWELLING WITH UNFINISHED BASEMENT,",1215749.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 022422,2026-07-17,Residential,New Construction,3662 OAKRIDGE AVE,"DWELLING WITH ATTACHED GARAGE,",750000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 019280,2026-07-14,Residential,New Construction,4237 JOINVILLE CRT,"DWELLING WITH ATTACHED GARAGE,",486979.53,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 004197,2026-07-14,Residential,New Construction,4641 MALDEN RD,DWELLING WITH (2) ADDITIONAL DWELLING,778266.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 016329,2026-07-13,Residential,New Construction,2693 BERNARD RD,DWELLING WITH ATTACHED GARAGE AND,350000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 023049,2026-06-22,Residential,ADU,728 JOSEPHINE AVE,CREATE ADDITIONAL DWELLING UNIT,900000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 022903,2026-06-22,Residential,ADU,726 JOSEPHINE AVE,CREATE ADDITIONAL DWELLING UNIT,900000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 051092,2026-06-18,Residential,New Construction,1864 NORTHWAY AVE,DETACHED DWELLING WITH ATTACHED,632069.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 051091,2026-06-18,Residential,New Construction,1866 NORTHWAY AVE,DETACHED DWELLING WITH ATTACHED,632069.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 016348,2026-06-16,Residential,New Construction,763 B RIDGE A VE,DWELLING WITH ATTACHED ADDITIONAL,543150.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 021364,2026-06-15,Residential,New Construction,2383 MOY AVE,"DWELLING WITH ATTACHED GARAGE, UN-",579411.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 018428,2026-06-15,Residential,New Construction,3630 BLISS RD,DWELLING WITH (2) ADDITIONAL DWELLING,779220.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 012145,2026-06-15,Residential,New Construction,1015 EASTLAWN AVE,"DWELLING WITH ATTACHED GARAGE,",895132.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 048456,2026-06-09,Residential,New Construction,1860 NORTHWAY AVE,DETACHED DWELLING WITH ATTACHED,632069.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 048455,2026-06-09,Residential,New Construction,1858 NORTHWAY AVE,DETACHED DWELLING WITH ATTACHED,632069.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 020288,2026-06-05,Residential,New Construction,3656 FARROW AVE,"DWELLING WITH (2) ATTACHED GARAGE,",920416.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 032266,2026-06-04,Residential,New Construction,653 CHURCH STREET (UNIT 1),DETACHED DWELLING WITH UNFINISHED,390000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2024 040329,2026-06-04,Residential,New Construction,651 CHURCH ST (UNIT 1),DETACHED DWELLING WITH UNFINISHED,390000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 018400,2026-06-03,Residential,New Construction,3656 OAKRIDGE AVE,"DWELLING WITH ATTACHED GARAGE,",750000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 019749,2026-06-02,Institutional,Water-Meter,2000 TALBOT RD,WATERMAIN WITH NEW 300mm PVC,499972.32,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 008186,2026-05-26,Residential,New Construction,1720 RANKIN AVE,"DWELLING WITH ATTACHED GARAGE,",1300000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 015564,2026-05-25,Residential,New Construction,2192 DAYTONA AVE,DETACHED DWELLING WITH FRONT PORCH,532850.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 015557,2026-05-25,Residential,New Construction,2184 DAYTONA AVE,DETACHED DWELLING WITH FRONT PORCH,532850.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 016194,2026-05-21,Residential,New Construction,3663 OAKRIDGE AVE,"DWELLING WITH ATTACHED GARAGE,",700000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 050471,2026-05-21,Residential,New Construction,2066 FERNDALE AVE,DETACHED DWELLING WITH GRADE,750000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 050469,2026-05-21,Residential,New Construction,2064 FERNDALE AVE,DETACHED DWELLING WITH GRADE,750000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 008708,2026-05-20,Residential,New Construction,480 PARTINGTON AVE,DWELLING WITH REAR ADDITIONAL,818030.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2026 015622,2026-05-08,Residential,New Construction,3661 SUTTON AVE,"DWELLING WITH ATTACHED GARAGE,",750000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 033006,2026-05-08,Residential,New Construction,1451 CAMPBELL AVE,"DWELLING WITH FINISHED BASEMENT,",746186.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
2025 052039,2026-05-07,Residential,ADU,4601 8TH CON RD,ADDITIONAL DWELLING UNIT IN THE REAR,429525.88,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20Aug%202026.pdf
